Year,_TYPE_,_FREQ_,AbOut_Bb,AbOut_K,AbOut_Hit,AbOut_1B,AbOut_2B,AbOut_3B,AbOut_Hr
2009,0,324,0.1265432099,0.1851851852,0.237654321,0.1450617284,0.0524691358,0,0.0401234568
2010,0,228,0.1666666667,0.1315789474,0.2105263158,0.0833333333,0.0745614035,0.0087719298,0.0438596491
2011,0,284,0.1056338028,0.1830985915,0.2394366197,0.1091549296,0.0774647887,0.0070422535,0.0457746479
