="",="",="",=""
="",="mean",="sd",="count"
="AbOut_Bb",=".1453488",=".3527086",="688"
="AbOut_K",=".2572674",=".437446",="688"
="AbOut_Hit",=".2122093",=".4091697",="688"
="AbOut_1B",=".1148256",=".3190433",="688"
="AbOut_2B",=".0421512",=".2010801",="688"
="AbOut_3B",="0",="0",="688"
="AbOut_Hr",=".0552326",=".2285998",="688"
="N",="688",="",=""
