="",="",="",=""
="",="mean",="sd",="count"
="AbOut_Bb",=".1464844",=".353937",="512"
="AbOut_K",=".3457031",=".4760621",="512"
="AbOut_Hit",=".1289063",=".3354239",="512"
="AbOut_1B",=".0761719",=".2655324",="512"
="AbOut_2B",=".03125",=".1741628",="512"
="AbOut_3B",="0",="0",="512"
="AbOut_Hr",=".0214844",=".1451342",="512"
="N",="512",="",=""
