="",="",="",=""
="",="mean",="sd",="count"
="AbOut_Bb",=".0855784",=".2799625",="631"
="AbOut_K",=".141046",=".3483451",="631"
="AbOut_Hit",=".2393027",=".4269963",="631"
="AbOut_1B",=".1458003",=".3531859",="631"
="AbOut_2B",=".0475436",=".2129673",="631"
="AbOut_3B",=".0015848",=".0398094",="631"
="AbOut_Hr",=".044374",=".206088",="631"
="N",="631",="",=""
