="",="",="",=""
="",="mean",="sd",="count"
="AbOut_Bb",=".0906344",=".2873056",="662"
="AbOut_K",=".1344411",=".3413835",="662"
="AbOut_Hit",=".2462236",=".4311361",="662"
="AbOut_1B",=".1616314",=".3683907",="662"
="AbOut_2B",=".0377644",=".19077",="662"
="AbOut_3B",="0",="0",="662"
="AbOut_Hr",=".0468278",=".2114296",="662"
="N",="662",="",=""
