Year,_TYPE_,_FREQ_,AbOut_Bb,AbOut_K,AbOut_Hit,AbOut_1B,AbOut_2B,AbOut_3B,AbOut_Hr
2009,0,368,0.1467391304,0.2554347826,0.2010869565,0.1114130435,0.0380434783,0,0.0516304348
2010,0,339,0.1032448378,0.2743362832,0.1799410029,0.0914454277,0.0442477876,0,0.0442477876
2011,0,247,0.1740890688,0.3076923077,0.1336032389,0.0647773279,0.036437247,0,0.032388664
