="",="",="",=""
="",="mean",="sd",="count"
="AbOut_Bb",=".0937951",=".291754",="693"
="AbOut_K",=".1587302",=".3656882",="693"
="AbOut_Hit",=".2467532",=".4314333",="693"
="AbOut_1B",=".1457431",=".3531034",="693"
="AbOut_2B",=".04329",=".2036562",="693"
="AbOut_3B",=".001443",=".0379869",="693"
="AbOut_Hr",=".0562771",=".2306224",="693"
="N",="693",="",=""
